#Brute force manager: all configurations have been tested
#NW	BATCH	RealTh	StabTime(ms)
1	384	7226.7	3081.6
1	768	14331.7	4104.8
1	1152	20336.3	3096.8
1	1536	27023.3	3057.0
1	1920	33321.3	3065.3
1	2304	39641.3	3099.7
1	2688	46190.7	3053.3
1	3072	50220.3	3051.0
1	3456	56148.0	3118.6
1	3840	60622.3	3021.5
1	4224	64464.3	3127.3
1	4608	67928.3	3035.6
1	4992	71560.0	3128.4
1	5376	75993.0	3000.0
1	5760	77186.7	3085.9
2	384	14328.0	4073.1
2	768	25371.0	3057.3
2	1152	37381.0	3060.5
2	1536	50140.7	3078.9
2	1920	60667.0	3013.0
2	2304	69984.0	3138.5
2	2688	79614.7	3019.3
2	3072	85807.7	3062.2
2	3456	93138.3	3101.3
2	3840	100000.0	3048.1
2	4224	100000.0	3067.2
2	4608	100000.0	3010.5
2	4992	100000.0	3050.3
2	5376	100000.0	3028.9
2	5760	100000.0	3119.4
3	384	19455.0	4024.2
3	768	37289.0	3026.9
3	1152	57021.3	3043.8
3	1536	71862.7	3063.6
3	1920	87407.7	3137.0
3	2304	97473.7	3001.9
3	2688	100000.0	3080.1
3	3072	100000.0	3043.0
3	3456	100000.0	3020.4
3	3840	100000.0	3061.8
3	4224	100000.0	3072.4
3	4608	100000.0	3042.9
3	4992	100000.0	3037.9
3	5376	100000.0	3042.2
3	5760	100000.0	3014.8
4	384	25944.3	4051.5
4	768	49801.7	3039.4
4	1152	73746.7	3087.7
4	1536	91970.3	3018.7
4	1920	100000.0	3037.9
4	2304	100000.0	3024.7
4	2688	100000.0	3036.0
4	3072	100000.0	3012.5
4	3456	100000.0	3012.1
4	3840	100000.0	3028.4
4	4224	100000.0	3060.3
4	4608	100000.0	3001.3
4	4992	100000.0	3042.7
4	5376	100000.0	3016.2
4	5760	100000.0	3029.1
5	384	32079.7	4023.4
5	768	62157.3	3021.4
5	1152	88704.7	3064.7
5	1536	100000.0	3026.2
5	1920	100000.0	3060.1
5	2304	100000.0	3047.6
5	2688	100000.0	3006.4
5	3072	100000.0	3024.7
5	3456	100000.0	3025.0
5	3840	100000.0	6034.3
5	4224	99151.3	3053.6
5	4608	99882.7	3025.9
5	4992	100000.0	3036.4
5	5376	99568.0	3047.9
5	5760	99863.3	3091.5
6	384	36259.7	4087.1
6	768	68334.0	3093.9
6	1152	92454.0	3161.0
6	1536	100000.0	3096.9
6	1920	100000.0	3097.5
6	2304	100000.0	5035.1
6	2688	100000.0	3043.9
6	3072	99826.3	3027.5
6	3456	99884.3	3014.1
6	3840	100000.0	3029.9
6	4224	99383.3	3050.0
6	4608	99939.7	3058.5
6	4992	100000.0	3024.4
6	5376	99627.0	3037.0
6	5760	99816.7	3104.5
7	384	41692.0	4140.8
7	768	83229.0	3045.3
7	1152	100000.0	3003.9
7	1536	100000.0	3026.0
7	1920	100000.0	5055.7
7	2304	99721.3	3034.3
7	2688	99937.3	3054.7
7	3072	99854.3	3049.6
7	3456	100000.0	3027.8
7	3840	100000.0	3014.2
7	4224	99085.0	3055.8
7	4608	99753.0	3037.2
7	4992	100000.0	3022.3
7	5376	99157.3	3082.6
7	5760	99889.0	3086.9
8	384	51026.7	4029.3
8	768	90919.0	3052.0
8	1152	100000.0	3025.6
8	1536	100000.0	5055.6
8	1920	99989.3	3018.4
8	2304	99805.3	3023.8
8	2688	99945.7	3054.5
8	3072	99849.0	3049.8
8	3456	99659.7	3009.3
8	3840	99917.0	3032.8
8	4224	99873.3	3045.1
8	4608	99880.7	3052.6
8	4992	100000.0	3021.8
8	5376	99549.7	3078.0
8	5760	99923.7	3081.9
9	384	57109.0	4046.8
9	768	94843.7	3024.1
9	1152	100000.0	3042.3
9	1536	99991.7	4015.4
9	1920	100000.0	3018.9
9	2304	99492.3	3036.9
9	2688	100000.0	3042.3
9	3072	99698.7	3044.4
9	3456	99649.7	3009.6
9	3840	100000.0	3023.4
9	4224	99278.3	3062.7
9	4608	99954.7	3069.6
9	4992	100000.0	3012.9
9	5376	99746.7	3049.4
9	5760	99888.3	3079.1
10	384	63933.0	4020.8
10	768	100000.0	3056.1
10	1152	100000.0	5048.1
10	1536	99807.0	3035.6
10	1920	99864.7	3022.3
10	2304	99799.0	3039.7
10	2688	99886.7	3056.2
10	3072	99881.7	3056.5
10	3456	99766.0	3029.3
10	3840	100000.0	3014.2
10	4224	99394.0	3053.3
10	4608	99865.3	3026.1
10	4992	100000.0	3017.2
10	5376	99205.0	3081.8
10	5760	99840.0	3076.8
